;globalSales;split;salesRatio;uplift;sums.Economic impact - LOW ($m);sums.Economic impact - HIGH ($m);sums.Average impact;sums.AI Low impact;sums.AI High impact;sums.Average AI economic impact;sums.totalImpact;sums.totalImpactLow;sums.totalImpactHigh;sums.traditionalImpact;max.Economic impact - LOW ($m);max.Economic impact - HIGH ($m);max.Average impact;max.AI Low impact;max.AI High impact;max.Average AI economic impact;domain.name;domain.split;domain.salesRatio;domain.uplift;domain.sums.Economic impact - LOW ($m);domain.sums.Economic impact - HIGH ($m);domain.sums.Average impact;domain.sums.AI Low impact;domain.sums.AI High impact;domain.sums.Average AI economic impact;domain.sums.totalImpact;domain.sums.totalImpactLow;domain.sums.totalImpactHigh;domain.sums.traditionalImpact;domain.max.Economic impact - LOW ($m);domain.max.Economic impact - HIGH ($m);domain.max.Average impact;domain.max.AI Low impact;domain.max.AI High impact;domain.max.Average AI economic impact;function;industry;usecase.Use case example description;usecase.dataTypes;usecase.technologies;usecase.split;usecase.uplift;usecase.sums.Economic impact - LOW ($m);usecase.sums.Economic impact - HIGH ($m);usecase.sums.Average impact;usecase.sums.AI Low impact;usecase.sums.AI High impact;usecase.sums.Average AI economic impact;usecase.sums.totalImpact;usecase.sums.totalImpactLow;usecase.sums.totalImpactHigh;usecase.sums.traditionalImpact
0;1304484.310799;0.6442219794225901;0.139618352696523;0.35577802057741004;98878788106.9735;182129950592.21567;140504369349.59454;34859729742.450424;64797833309.559975;49828781526.00519;182129950592.21567;98878788106.9735;182129950592.21567;117332117282.6557;46928482703.45563;62451846001.96374;54690164352.70969;19832179385.491516;38208877629.77278;29020528507.632145;Next product to buy (NPTB) / individualized offering;1.0;0.000149253731343;0.0;194699150.86551717;194699150.86551717;194699150.86551717;0.0;0.0;0.0;194699150.86551717;194699150.86551717;194699150.86551717;194699150.86551717;194699150.86551717;194699150.86551717;194699150.86551717;0.0;0.0;0.0;Marketing and sales;Aerospace & Defense;Optimize the customization process of aircrafts by directing airlines to options/solutions that are easier to implement.;['Time series', 'Structured/semi-structured'];['Tree-based ensemble learning (e.g., random forest)', 'Clustering (e.g., k-means)', 'Regression analysis', 'Monte Carlo', 'Other optmization\r\n(e.g., genetic algorithms)'];1.0;0.0;194699150.86551717;194699150.86551717;194699150.86551717;0.0;0.0;0.0;194699150.86551717;194699150.86551717;194699150.86551717;194699150.86551717
1;1304484.310799;0.6442219794225901;0.139618352696523;0.35577802057741004;98878788106.9735;182129950592.21567;140504369349.59454;34859729742.450424;64797833309.559975;49828781526.00519;182129950592.21567;98878788106.9735;182129950592.21567;117332117282.6557;46928482703.45563;62451846001.96374;54690164352.70969;19832179385.491516;38208877629.77278;29020528507.632145;Analytics-driven hiring and retention;0.6021352313167261;0.001599178367574;0.39786476868327403;1922778293.5359676;2086103090.670297;2004440692.1031322;699327085.9115373;829986923.6190007;764657004.7652689;2086103090.670297;1922778293.5359676;2086103090.670297;1256116167.0512962;1269479104.9986503;1269479104.9986503;1269479104.9986503;380843731.4995951;380843731.4995951;380843731.4995951;HR;Aerospace & Defense;Automatically screen resumes and pick top candidates.;['Text', 'Structured/semi-structured'];['RNNs', 'Classifiers (e.g., SVM, logistic, linear)', 'Regression analysis', 'Statistical inference'];0.2;0.799999999999999;244987195.70149392;408311992.83582324;326649594.2686586;195989756.56119516;326649594.2686586;261319675.41492686;408311992.83582324;244987195.70149392;408311992.83582324;81662398.56716466
2;1304484.310799;0.6442219794225901;0.139618352696523;0.35577802057741004;98878788106.9735;182129950592.21567;140504369349.59454;34859729742.450424;64797833309.559975;49828781526.00519;182129950592.21567;98878788106.9735;182129950592.21567;117332117282.6557;46928482703.45563;62451846001.96374;54690164352.70969;19832179385.491516;38208877629.77278;29020528507.632145;Analytics-driven hiring and retention;0.6021352313167261;0.001599178367574;0.39786476868327403;1922778293.5359676;2086103090.670297;2004440692.1031322;699327085.9115373;829986923.6190007;764657004.7652689;2086103090.670297;1922778293.5359676;2086103090.670297;1256116167.0512962;1269479104.9986503;1269479104.9986503;1269479104.9986503;380843731.4995951;380843731.4995951;380843731.4995951;HR;Aerospace & Defense;Identify key drivers of employee performance, and spot employees with high likelihood of success.;['Text', 'Structured/semi-structured'];['Tree-based ensemble learning (e.g., random forest)', 'Classifiers (e.g., SVM, logistic, linear)', 'Clustering (e.g., k-means)', 'Regression analysis'];0.7000000000000001;0.30000000000000004;408311992.83582324;408311992.83582324;408311992.83582324;122493597.85074696;122493597.85074696;122493597.85074696;408311992.83582324;408311992.83582324;408311992.83582324;285818394.9850763
3;1304484.310799;0.6442219794225901;0.139618352696523;0.35577802057741004;98878788106.9735;182129950592.21567;140504369349.59454;34859729742.450424;64797833309.559975;49828781526.00519;182129950592.21567;98878788106.9735;182129950592.21567;117332117282.6557;46928482703.45563;62451846001.96374;54690164352.70969;19832179385.491516;38208877629.77278;29020528507.632145;Analytics-driven hiring and retention;0.6021352313167261;0.001599178367574;0.39786476868327403;1922778293.5359676;2086103090.670297;2004440692.1031322;699327085.9115373;829986923.6190007;764657004.7652689;2086103090.670297;1922778293.5359676;2086103090.670297;1256116167.0512962;1269479104.9986503;1269479104.9986503;1269479104.9986503;380843731.4995951;380843731.4995951;380843731.4995951;HR;Aerospace & Defense;Identify factors influencing employee churn, and pilot intervention strategies.;['Text', 'Structured/semi-structured'];['Tree-based ensemble learning (e.g., random forest)', 'Classifiers (e.g., SVM, logistic, linear)', 'Clustering (e.g., k-means)', 'Regression analysis'];0.7000000000000001;0.30000000000000004;1269479104.9986503;1269479104.9986503;1269479104.9986503;380843731.4995951;380843731.4995951;380843731.4995951;1269479104.9986503;1269479104.9986503;1269479104.9986503;888635373.4990551
4;1304484.310799;0.6442219794225901;0.139618352696523;0.35577802057741004;98878788106.9735;182129950592.21567;140504369349.59454;34859729742.450424;64797833309.559975;49828781526.00519;182129950592.21567;98878788106.9735;182129950592.21567;117332117282.6557;46928482703.45563;62451846001.96374;54690164352.70969;19832179385.491516;38208877629.77278;29020528507.632145;Analytics driven accounting & IT;0.32770512118198303;0.002256276;0.6722948788180171;1862983614.6558626;2943276642.832325;2403130128.744094;1380720200.200129;1978749813.9208577;1679735007.0604935;2943276642.832325;1862983614.6558626;2943276642.832325;964526828.9114673;1174035879.7191002;1565381172.9588003;1369708526.3389504;1174035879.7191002;1565381172.9588003;1369708526.3389504;Finance & IT;Aerospace & Defense;Optimize accounts-receivable management by short-listing accounts per segment most likely to pay and predicting change in timing of invoice fulfillment.;['Text', 'Time series', 'Structured/semi-structured'];['Tree-based ensemble learning (e.g., random forest)', 'Classifiers (e.g., SVM, logistic, linear)', 'Clustering (e.g., k-means)', 'Regression analysis', 'Statistical inference'];0.7000000000000001;0.30000000000000004;688947734.9367623;1377895469.8735247;1033421602.4051434;206684320.4810287;413368640.9620574;310026480.7215431;1377895469.8735247;688947734.9367623;1377895469.8735247;964526828.9114673
5;1304484.310799;0.6442219794225901;0.139618352696523;0.35577802057741004;98878788106.9735;182129950592.21567;140504369349.59454;34859729742.450424;64797833309.559975;49828781526.00519;182129950592.21567;98878788106.9735;182129950592.21567;117332117282.6557;46928482703.45563;62451846001.96374;54690164352.70969;19832179385.491516;38208877629.77278;29020528507.632145;Analytics driven accounting & IT;0.32770512118198303;0.002256276;0.6722948788180171;1862983614.6558626;2943276642.832325;2403130128.744094;1380720200.200129;1978749813.9208577;1679735007.0604935;2943276642.832325;1862983614.6558626;2943276642.832325;964526828.9114673;1174035879.7191002;1565381172.9588003;1369708526.3389504;1174035879.7191002;1565381172.9588003;1369708526.3389504;Finance & IT;Aerospace & Defense;Use intelligent document recognition to automate document sorting and extraction processes.;['Text', 'Image'];['RNNs', 'CNNs', 'Classifiers (e.g., SVM, logistic, linear)'];0.0;1.0;1174035879.7191002;1565381172.9588003;1369708526.3389504;1174035879.7191002;1565381172.9588003;1369708526.3389504;1565381172.9588003;1174035879.7191002;1565381172.9588003;0.0
6;1304484.310799;0.6442219794225901;0.139618352696523;0.35577802057741004;98878788106.9735;182129950592.21567;140504369349.59454;34859729742.450424;64797833309.559975;49828781526.00519;182129950592.21567;98878788106.9735;182129950592.21567;117332117282.6557;46928482703.45563;62451846001.96374;54690164352.70969;19832179385.491516;38208877629.77278;29020528507.632145;Product development cycle optimization;0.7638888888888891;0.005594742707443001;0.23611111111111102;6284607684.147831;7298254084.816835;6791430884.482334;1419104960.9366071;1723198881.1373086;1571151921.0369577;7298254084.816835;6284607684.147831;7298254084.816835;5575055203.679527;2230022081.471811;3040939202.0070148;2534116001.6725125;810917120.535204;912281760.6021044;810917120.535204;Product Development;Aerospace & Defense;Optimize testing of parts (eg, better sampling of testing conditions).;['Text', 'Time series', 'Structured/semi-structured'];['Reinforcement learning', 'RNNs', 'Tree-based ensemble learning (e.g., random forest)', 'Regression analysis', 'Statistical inference', 'Monte Carlo', 'Other optmization\r\n(e.g., genetic algorithms)'];0.6000000000000001;0.4;2027292801.33801;2027292801.33801;2027292801.33801;810917120.535204;810917120.535204;810917120.535204;2027292801.33801;2027292801.33801;2027292801.33801;1216375680.802806
7;1304484.310799;0.6442219794225901;0.139618352696523;0.35577802057741004;98878788106.9735;182129950592.21567;140504369349.59454;34859729742.450424;64797833309.559975;49828781526.00519;182129950592.21567;98878788106.9735;182129950592.21567;117332117282.6557;46928482703.45563;62451846001.96374;54690164352.70969;19832179385.491516;38208877629.77278;29020528507.632145;Product development cycle optimization;0.7638888888888891;0.005594742707443001;0.23611111111111102;6284607684.147831;7298254084.816835;6791430884.482334;1419104960.9366071;1723198881.1373086;1571151921.0369577;7298254084.816835;6284607684.147831;7298254084.816835;5575055203.679527;2230022081.471811;3040939202.0070148;2534116001.6725125;810917120.535204;912281760.6021044;810917120.535204;Product Development;Aerospace & Defense;Optimize engineering-quality management to reduce rework frequency (eg, flag drawings that need rework early on).;['Time series', 'Structured/semi-structured'];['Tree-based ensemble learning (e.g., random forest)', 'Dimensionality reduction', 'Clustering (e.g., k-means)', 'Regression analysis', 'Statistical inference', 'Monte Carlo'];1.0;0.0;2230022081.471811;2230022081.471811;2230022081.471811;0.0;0.0;0.0;2230022081.471811;2230022081.471811;2230022081.471811;2230022081.471811
8;1304484.310799;0.6442219794225901;0.139618352696523;0.35577802057741004;98878788106.9735;182129950592.21567;140504369349.59454;34859729742.450424;64797833309.559975;49828781526.00519;182129950592.21567;98878788106.9735;182129950592.21567;117332117282.6557;46928482703.45563;62451846001.96374;54690164352.70969;19832179385.491516;38208877629.77278;29020528507.632145;Product development cycle optimization;0.7638888888888891;0.005594742707443001;0.23611111111111102;6284607684.147831;7298254084.816835;6791430884.482334;1419104960.9366071;1723198881.1373086;1571151921.0369577;7298254084.816835;6284607684.147831;7298254084.816835;5575055203.679527;2230022081.471811;3040939202.0070148;2534116001.6725125;810917120.535204;912281760.6021044;810917120.535204;Product Development;Aerospace & Defense;Improve R&D project prioritization and increase performance within individual projects (eg, predict outcomes).;['Text', 'Time series', 'Structured/semi-structured'];['Tree-based ensemble learning (e.g., random forest)', 'Classifiers (e.g., SVM, logistic, linear)', 'Clustering (e.g., k-means)', 'Regression analysis'];0.7000000000000001;0.30000000000000004;2027292801.33801;3040939202.0070148;2534116001.6725125;608187840.4014031;912281760.6021044;760234800.5017537;3040939202.0070148;2027292801.33801;3040939202.0070148;2128657441.4049103
9;1304484.310799;0.6442219794225901;0.139618352696523;0.35577802057741004;98878788106.9735;182129950592.21567;140504369349.59454;34859729742.450424;64797833309.559975;49828781526.00519;182129950592.21567;98878788106.9735;182129950592.21567;117332117282.6557;46928482703.45563;62451846001.96374;54690164352.70969;19832179385.491516;38208877629.77278;29020528507.632145;Product feature optimization;0.8;0.035569368437586006;0.2;9279936614.3722;46399683071.86101;27839809843.116604;1855987322.87444;9279936614.372202;5567961968.623321;46399683071.86101;9279936614.3722;46399683071.86101;37119746457.48881;9279936614.3722;46399683071.86101;27839809843.116604;1855987322.87444;9279936614.372202;5567961968.623321;Product Development;Aerospace & Defense;Identify parts and components for revised product development.;['Time series', 'Structured/semi-structured'];['Reinforcement learning', 'Tree-based ensemble learning (e.g., random forest)', 'Regression analysis', 'Statistical inference', 'Monte Carlo', 'Other optmization\r\n(e.g., genetic algorithms)'];0.8;0.2;9279936614.3722;46399683071.86101;27839809843.116604;1855987322.87444;9279936614.372202;5567961968.623321;46399683071.86101;9279936614.3722;46399683071.86101;37119746457.48881
